tunnus,nimi,isin,id_notation,aum,kulut,toteutus,osinko
SC06,Invesco STOXX Europe 600 Optimised Media UCITS ETF,IE00B5MTZ488,29944220,"2,74 M€","0,20 %",Johdannainen,
SC0V,Invesco STOXX Europe 600 Optimised Oil & Gas UCITS ETF,IE00B5MTWH09,29944215,"29,76 M€","0,20 %",Johdannainen,
SC05,Invesco STOXX Europe 600 Optimised Retail UCITS ETF,IE00B5MTZM66,29944227,"1,95 M€","0,20 %",Johdannainen,
SC0X,Invesco STOXX Europe 600 Optimised Technology UCITS ETF,IE00B5MTWZ80,29944217,"20,57 M€","0,20 %",Johdannainen,
SC0Q,Invesco STOXX Europe 600 Optimised Telecommunications UCITS,IE00B5MJYB88,29944210,"6,9 M€","0,20 %",Johdannainen,
SC0R,Invesco STOXX Europe 600 Optimised Travel & Leisure UCITS ETF,IE00B5MJYC95,29944211,"4,33 M€","0,20 %",Johdannainen,
SC0Z,Invesco STOXX Europe 600 Optimised Utilities UCITS ETF,IE00B5MTXK03,29944219,"7,37 M€","0,20 %",Johdannainen,
SC0C,Invesco STOXX Europe 600 UCITS ETF,IE00B60SWW18,28120644,"518,49 M€","0,19 %",Johdannainen,
FAHY,Invesco US High Yield Fallen Angels UCITS ETF,IE00BD0Q9673,174763666,"77,27 M$","0,45 %",Arvopaperi,Neljännesvuosittain
SXRR,iShares $ Floating Rate Bond UCITS ETF EUR Hedged (Dist),IE00BF11F458,197239633,"66,57 M$","0,12 %",Arvopaperi,Puolivuosittain
2B77,iShares Ageing Population UCITS ETF,IE00BYZK4669,170462940,"692,94 M$","0,40 %",Arvopaperi,
AIAA,iShares AI Adopters & Applications UCITS ETF Accum Shs USD,IE000Q9W2IR3,486012720,"206,45 M","0,35 %",Arvopaperi,
AIFS,iShares AI Infrastructure UCITS ETF Accum USD,IE000X59ZHE2,486012717,"889,36 M","0,35 %",Arvopaperi,
IQQX,iShares Asia Pacific Dividend UCITS ETF,IE00B14X4T88,161589524,"656,02 M$","0,59 %",Arvopaperi,Neljännesvuosittain
IQQ4,iShares Asia Property Yield UCITS ETF,IE00B1FZS244,162735988,"212,01 M$","0,59 %",Arvopaperi,Neljännesvuosittain
2B76,iShares Automation & Robotics UCITS ETF,IE00BYZK4552,170462938,"4 370,84 M$","0,40 %",Arvopaperi,
IQQ9,iShares BIC 50 UCITS ETF,IE00B1W57M07,162736048,"132,92 M$","0,74 %",Arvopaperi,Puolivuosittain
IB1T,iShares Bitcoin ETP,XS2940466316,499274945,"1 071,87 M$","0,15 %",Arvopaperi,
UDHY,iShares Broad USD High Yield Corp Bond UCITS ETF Unhedged USD,IE00BG0J4957,375065842,"2 382,1 M$","0,25 %",Arvopaperi,Puolivuosittain
ICGB,iShares China CNY Bond UCITS ETF USD,IE00BYPC1H27,263117333,"660,2 M$","0,35 %",Arvopaperi,Puolivuosittain
IQQC,iShares China Large Cap UCITS ETF USD,IE00B02KXK85,358786204,"924,94 M$","0,74 %",Arvopaperi,Neljännesvuosittain
EXS1,iShares Core DAX UCITS ETF (DE),DE0005933931,2027396,"8 384,05 M€","0,16 %",Arvopaperi,
EUN5,iShares Core EUR Corp Bond UCITS ETF,IE00B3F81R35,116984611,"8 991,67 M€","0,20 %",Arvopaperi,Puolivuosittain
EUNH,iShares Core EUR Govt Bond UCITS ETF,IE00B4WXJJ64,163422784,"4 919,8 M€","0,09 %",Arvopaperi,Puolivuosittain
SXRT,iShares Core EURO STOXX 50 UCITS ETF,IE00B53L3W79,34203412,"7 038,61 M€","0,10 %",Arvopaperi,
EUN2,iShares Core EURO STOXX 50 UCITS ETF (Irl),IE0008471009,206628,"5 323,34 M€","0,10 %",Arvopaperi,Neljännesvuosittain
SXRW,iShares Core FTSE 100 UCITS ETF GBP (Acc),IE00B53HP851,34203415,"3 044,65 M£","0,07 %",Arvopaperi,
IUSZ,iShares Core FTSE 100 UCITS ETF GBP (Dist),IE0005042456,171693124,"15 286,5 M£","0,07 %",Arvopaperi,Neljännesvuosittain
EUNA,iShares Core Global Aggregate Bond UCITS ETF Accum Hedged EUR,IE00BDBRDM35,205184960,"2 379,64 M$","0,10 %",Arvopaperi,
IS3N,iShares Core MSCI EM IMI UCITS ETF,IE00BKM4GZ66,103681105,"39 950,6 M$","0,18 %",Arvopaperi,
SXR7,iShares Core MSCI EMU UCITS ETF,IE00B53QG562,34203434,"6 565,59 M€","0,12 %",Arvopaperi,
IQQY,iShares Core MSCI Europe UCITS ETF,IE00B1YZSC51,116984610,"10 494,1 M€","0,12 %",Arvopaperi,Neljännesvuosittain
EUNK,iShares Core MSCI Europe UCITS ETF EUR (Acc),IE00B4K48X80,108344842,"14 804,2 M€","0,12 %",Arvopaperi,
EUNN,iShares Core MSCI Japan IMI UCITS ETF,IE00B4L5YX21,163423017,"7 366,09 M$","0,12 %",Arvopaperi,
SXR1,iShares Core MSCI Pacific ex Japan UCITS ETF,IE00B52MJY50,34203418,"3 740,83 M$","0,20 %",Arvopaperi,
EUNL,iShares Core MSCI World UCITS ETF,IE00B4L5Y983,108344843,135 308 M$,"0,20 %",Arvopaperi,
SXR8,iShares Core S&P 500 UCITS ETF,IE00B5BMR087,35607934,139 993 M$,"0,07 %",Arvopaperi,
IUSA,iShares Core S&P 500 UCITS ETF USD (Dist),IE0031442068,6430214,"20 754,7 M$","0,07 %",Arvopaperi,Neljännesvuosittain
IQQ6,iShares Developed Markets Property Yield UCITS ETF,IE00B1FZS350,162736008,"1 201,66 M$","0,59 %",Arvopaperi,Neljännesvuosittain
2B79,iShares Digitalisation UCITS ETF,IE00BYZK4883,170462942,"696,85 M$","0,40 %",Arvopaperi,
L0CK,iShares Digital Security UCITS ETF,IE00BG0J4C88,228867010,"1 513,84 M$","0,40 %",Arvopaperi,
EXXY,iShares Diversified Commodity Swap UCITS ETF (DE),DE000A0H0728,18637689,"297,33 M€","0,46 %",Johdannainen,
IUSL,iShares Dow Jones Global Leaders Screened UCITS ETF USD (Acc),IE00B57X3V84,162736192,"1 957,82 M$","0,60 %",Arvopaperi,
SXRU,iShares Dow Jones Industrial Average UCITS ETF,IE00B53L4350,34203413,"1 755,76 M$","0,33 %",Arvopaperi,
EUNZ,iShares Edge MSCI EM Minimum Volatility UCITS ETF,IE00B8KGV557,164522121,"391,64 M$","0,40 %",Arvopaperi,
5MVL,iShares Edge MSCI EM Value Factor UCITS ETF,IE00BG0SKF03,238545765,"1 623,65 M$","0,40 %",Arvopaperi,
EUN0,iShares Edge MSCI Europe Minimum Volatility UCITS ETF,IE00B86MWN23,164522133,"790,68 M€","0,25 %",Arvopaperi,
CEMR,iShares Edge MSCI Europe Momentum Factor UCITS ETF,IE00BQN1K786,142242331,"767,3 M€","0,25 %",Arvopaperi,
IBC0,iShares Edge MSCI Europe Multifactor UCITS ETF,IE00BZ0PKV06,141622145,"585,11 M€","0,45 %",Arvopaperi,
CEMQ,iShares Edge MSCI Europe Quality Factor UCITS ETF,IE00BQN1K562,142242329,"708,01 M€","0,25 %",Arvopaperi,
CEMS,iShares Edge MSCI Europe Value Factor UCITS ETF,IE00BQN1K901,142242333,"2 488,52 M€","0,25 %",Arvopaperi,
MVEA,iShares Edge MSCI USA Minimum Volatility Advanced UCITS ETF AccumUSD,IE00BKVL7331,291937576,"105,17 M$","0,20 %",Arvopaperi,
QDVA,iShares Edge MSCI USA Momentum Factor UCITS ETF,IE00BD1F4N50,173162287,"509,59 M$","0,20 %",Arvopaperi,
QDVB,iShares Edge MSCI USA Quality Factor UCITS ETF,IE00BD1F4L37,173162285,"1 762,85 M$","0,20 %",Arvopaperi,
QDVI,iShares Edge MSCI USA Value Factor UCITS ETF,IE00BD1F4M44,173162286,"4 402,07 M$","0,20 %",Arvopaperi,
MVEW,iShares Edge MSCI World MinimumVolatility Advanced UCITS ETF,IE00BKVL7778,291937573,"249,45 M$","0,30 %",Arvopaperi,
SXR0,iShares Edge MSCI World Minimum Volatility UCITS ETF EUR Hedged Accum,IE00BYXPXL17,184835458,"164,37 M$","0,35 %",Arvopaperi,
IQQ0,iShares Edge MSCI World Minimum Volatility UCITS ETF USD,IE00B8FHGS14,164522119,"2 463,02 M$","0,30 %",Arvopaperi,
IS3R,iShares Edge MSCI World Momentum Factor UCITS ETF,IE00BP3QZ825,142242323,"4 434,85 M$","0,25 %",Arvopaperi,
IS3Q,iShares Edge MSCI World Quality Factor UCITS ETF,IE00BP3QZ601,142242321,"4 959,58 M$","0,25 %",Arvopaperi,
IS3S,iShares Edge MSCI World Value Factor UCITS ETF,IE00BP3QZB59,142242325,"6 321,78 M$","0,25 %",Arvopaperi,
IBCK,iShares Edge S&P 500 Minimum Volatility UCITS ETF,IE00B6SPMN59,164522135,"1 607,83 M$","0,20 %",Arvopaperi,
IS31,iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc),IE00BYX8XD24,192916941,"43,61 M$","0,25 %",Arvopaperi,
IEVD,iShares Electric Vehicles & Driving Technology UCITS ETF,IE00BGL86Z12,247332724,"541,71 M$","0,40 %",Arvopaperi,
EUNY,iShares EM Dividend UCITS ETF,IE00B652H904,164522158,"1 401,63 M$","0,65 %",Arvopaperi,Neljännesvuosittain
IS0S,iShares Emerging Asia Local Govt Bond UCITS ETF USD,IE00B6QGFW01,163423696,"44,33 M$","0,50 %",Arvopaperi,Puolivuosittain
EUNT,iShares EUR Corp Bond 1-5yr UCITS ETF,IE00B4L60045,163423175,"3 541,98 M€","0,20 %",Arvopaperi,Puolivuosittain
IS06,iShares EUR Corp Bond BBB-BB UCITS ETF,IE00BSKRK281,163423325,"442,62 M€","0,25 %",Arvopaperi,Puolivuosittain
EUNR,iShares EUR Corp Bond ex-Financials UCITS ETF,IE00B4L5ZG21,163423082,"974,67 M€","0,20 %",Arvopaperi,Puolivuosittain
IS3B,iShares EUR Corp Bond Financials UCITS ETF,IE00B87RLX93,164522186,"460,4 M€","0,20 %",Arvopaperi,Puolivuosittain
IBCS,iShares EUR Corp Bond Large Cap UCITS ETF,IE0032523478,161588978,"1 863,19 M€","0,20 %",Arvopaperi,Neljännesvuosittain
IUS6,iShares EUR Covered Bond UCITS ETF,IE00B3B8Q275,163422475,"1 553,9 M€","0,20 %",Arvopaperi,Puolivuosittain
EUN6,iShares EUR Govt Bond 0-1yr UCITS ETF,IE00B3FH7618,163422502,"1 105,47 M€","0,07 %",Arvopaperi,Puolivuosittain
IBCA,iShares EUR Govt Bond 1-3 UCITS ETF EUR (Dist),IE00B14X4Q57,161589537,"1 842,22 M€","0,20 %",Arvopaperi,Puolivuosittain
IBCN,iShares EUR Govt Bond 3-5 Year UCITS ETF,IE00B1FZS681,162736022,"2 186,98 M€","0,15 %",Arvopaperi,Puolivuosittain
SXRP,iShares EUR Govt Bond 3-7 UCITS ETF (Acc),IE00B3VTML14,31802430,"1 286,74 M€","0,20 %",Arvopaperi,
EUN9,iShares EUR Govt Bond 5-7 Year UCITS ETF,IE00B4WXJG34,163422648,"700,54 M€","0,20 %",Arvopaperi,Puolivuosittain
SXRQ,iShares EUR Govt Bond 7-10 UCITS ETF EUR (Acc),IE00B3VTN290,31802431,"879,86 M€","0,20 %",Arvopaperi,
IBCM,iShares EUR Govt Bond 7-10 Year UCITS ETF,IE00B1FZS806,162736024,"1 017,09 M€","0,15 %",Arvopaperi,Puolivuosittain
EUN8,iShares EUR Govt Bond 10-15 Year UCITS ETF,IE00B4WXJH41,163422717,"346,52 M€","0,20 %",Arvopaperi,Puolivuosittain
IBCL,iShares EUR Govt Bond 15-30 Year UCITS ETF,IE00B1FZS913,162736017,"736,26 M€","0,15 %",Arvopaperi,Puolivuosittain
IS05,iShares EUR Govt Bond 20 Year Target Duration UCITS ETF,,263581445,"212,66 M€","0,15 %",Arvopaperi,Puolivuosittain
EUN4,iShares Euro Aggregate Bond ESG SRI UCITS ETF,IE00B3DKXQ41,163422540,"1 588,98 M€","0,25 %",Arvopaperi,Puolivuosittain
EUNW,iShares Euro High Yield Corp Bond UCITS ETF EUR,IE00B66F4759,116984614,"4 947,29 M€","0,50 %",Arvopaperi,Puolivuosittain
IQQP,iShares European Property Yield UCITS ETF,IE00B0M63284,161589421,"910,1 M€","0,40 %",Arvopaperi,Neljännesvuosittain
IPRE,iShares European Property Yield UCITS ETF,IE00BGDQ0L74,239263117,"190,97 M€","0,40 %",Arvopaperi,
IQQM,iShares EURO STOXX Mid UCITS ETF,IE00B02KXL92,161589379,"546,09 M€","0,40 %",Arvopaperi,Neljännesvuosittain
IQQS,iShares EURO STOXX Small UCITS ETF,IE00B02KXM00,161589353,"430,92 M€","0,40 %",Arvopaperi,Neljännesvuosittain
IQQG,iShares Euro Total Market Growth Large UCITS ETF EUR,IE00B0M62V02,161589415,"276,35 M€","0,40 %",Arvopaperi,Neljännesvuosittain
IS3M,iShares EUR Ultrashort Bond UCITS ETF,IE00BCRY6557,142242370,"3 604,86 M€","0,09 %",Arvopaperi,Puolivuosittain
QDVQ,iShares Fallen Angels High Yield Corp Bond UCITS ETF,IE00BYM31M36,163897937,"381,95 M$","0,66 %",Arvopaperi,Puolivuosittain
IS0L,iShares Germany Govt Bond UCITS ETF,IE00B5V94313,164522173,"143,21 M€","0,20 %",Arvopaperi,Puolivuosittain
IS0Z,iShares Global AAA-AA Govt Bond UCITS ETF,IE00B87G8S03,164522113,"209,96 M$","0,20 %",Arvopaperi,Puolivuosittain
5J50,iShares Global Aerospace & Defence UCITS ETF Accum- USD,IE000U9ODG19,503759718,"1 750,6 M$","0,35 %",Arvopaperi,
IQQH,iShares Global Clean Energy Transition UCITS ETD USD,IE00B1XNHC34,162736052,"3 350,27 M$","0,65 %",Arvopaperi,Puolivuosittain
IBCQ,iShares Global Corp Bond EUR Hedged UCITS ETF,IE00B9M6SJ31,164522189,"1 082,86 M€","0,25 %",Arvopaperi,Puolivuosittain
IS0X,iShares Global Corp Bond UCITS ETF,IE00B7J7TB45,161589672,"1 984,77 M$","0,20 %",Arvopaperi,Puolivuosittain
EUN3,iShares Global Govt Bond UCITS ETF,IE00B3F81K65,163422519,"1 220,96 M$","0,20 %",Arvopaperi,Puolivuosittain
IBC9,iShares Global High Yield Corp Bond UCITS ETF USD,IE00B74DQ490,161589674,"948,22 M$","0,56 %",Arvopaperi,Puolivuosittain
IUS5,iShares Global Inflation Linked Govt Bond UCITS ETF,IE00B3B8PX14,163422458,"493,96 M€","0,25 %",Arvopaperi,
CBUX,iShares Global Infrastructure UCITS ETF Accum USD,IE000CK5G8J7,412404338,"147,01 M$","0,65 %",Arvopaperi,
IQQI,iShares Global Infrastructure UCITS ETF USD,IE00B1FZS467,162736010,"2 331,23 M$","0,65 %",Arvopaperi,Neljännesvuosittain
IUSB,iShares Global Timber & Forestry UCITS ETF Ptg.Shs USD,IE00B27YCF74,328916436,"88,43 M$","0,65 %",Arvopaperi,Puolivuosittain
IQQQ,iShares Global Water UCITS ETF,IE00B1TXK627,162736042,"2 178,05 M$","0,65 %",Arvopaperi,Puolivuosittain
IS0E,iShares Gold Producers UCITS ETF USD,IE00B6R52036,164522143,"4 190,41 M$","0,55 %",Arvopaperi,
MAGR,iShares Growth Portfolio UCITS ETF,IE00BLLZQ805,306151185,"85,01 M€","0,34 %",Arvopaperi,
2B78,iShares Healthcare Innovation UCITS ETF,IE00BYZK4776,170462941,"964,66 M$","0,40 %",Arvopaperi,
IVOA,iShares iBonds Dec 2028 Term EUR Corp UCITS ETF AccumEUR,IE0008UEVOE0,432510269,"965,18 M€","0,12 %",Arvopaperi,
CBU5,iShares iBonds Dec 2028 Term USD Corp UCITS ETF AccumUSD,IE0000UJ3480,429795400,"876,97 M$","0,12 %",Arvopaperi,
IART,iShares III PLC - iShares AI Innovation Active UCITS ETF AccumUSD,IE000G0E83X3,490706106,"211,42 M$","0,73 %",Arvopaperi,
EUNS,iShares III PLC - iShares Euro Corporate Bond ex-Financials 1-5yr UCITS ETF EUR,IE00B4L5ZY03,163423134,"1 242,04 M€","0,20 %",Arvopaperi,Puolivuosittain
QDVL,iShares II PLC - iShares EUR Corp Bond 0-3Yr ESG SRI UCITS ETF Shs EUR,IE00BYZTVV78,151167085,"2 168,5 M€","0,15 %",Arvopaperi,Puolivuosittain
AYE2,iShares II PLC - iShares EUR High Yield Corp Bond ESG SRI UCITS ETF Accum EUR,IE00BJK55C48,328916661,"3 311,18 M€","0,25 %",Arvopaperi,
SUA0,iShares II PLC - iShares Euro Corp Bond ESG SRI UCITS ETF Accum Shs EUR,IE000L2TO2T2,377707824,"1 519,02 M€","0,15 %",Arvopaperi,
UEEF,iShares II PLC - iShares USD High Yield Corp Bond ESG SRI UCITS ETF Accum Shs Hedged EUR,IE00BMDFDY08,304182253,"367,04 MCHF","0,27 %",Arvopaperi,
OPEN,iShares Inclusion and Diversity UCITS ETF Accum Shs Unhedged USD,IE00BD0B9B76,228867004,"48,17 M$","0,25 %",Arvopaperi,
IS0M,iShares Italy Govt Bond UCITS ETF,IE00B7LW6Y90,164522175,"512,54 M€","0,20 %",Arvopaperi,Puolivuosittain
CEBS,iShares IV PLC - iShares Copper Miners UCITS ETF AccumUSD,IE00063FT9K6,435519651,"465,45 M$","0,55 %",Arvopaperi,
EDM2,iShares IV PLC - iShares MSCI EM CTB Enhanced ESG UCITS ETF Accum Shs Unhedged USD,IE00BHZPJ239,271515961,"9 548,06 M$","0,26 %",Arvopaperi,
AYEM,iShares IV PLC - iShares MSCI EM IMI Screened UCITS ETF AccumUnhedged USD,IE00BFNM3P36,232974970,"6 490,74 M$","0,21 %",Arvopaperi,
EDM4,iShares IV PLC - iShares MSCI EMU CTB Enhanced ESG UCITS ETF Accum Shs Unhedged EUR,IE00BHZPJ015,252399066,"3 130,43 M€","0,12 %",Arvopaperi,
EDM6,iShares IV PLC - iShares MSCI Europe CTB Enhanced ESG UCITS ETF Accum Shs Unhedged EUR,IE00BHZPJ783,252399074,"2 144,39 M€","0,12 %",Arvopaperi,
SLMC,iShares IV PLC - iShares MSCI Europe Screened UCITS ETF AccumEUR,IE00BFNM3D14,232974954,"4 698,26 M€","0,14 %",Arvopaperi,
EDMJ,iShares IV PLC - iShares MSCI Japan CTB Enhanced ESG UCITS ETF Accum Shs Unhedged USD,IE00BHZPJ452,252399068,"1 352,41 M$","0,15 %",Arvopaperi,
SGAJ,iShares IV PLC - iShares MSCI Japan Screened UCITS ETF AccumUnhedged USD,IE00BFNM3L97,232974966,"1 965,48 M$","0,15 %",Arvopaperi,
EDMU,iShares IV PLC - iShares MSCI USA CTB Enhanced ESG UCITS ETF Accum Shs Unhedged USD,IE00BHZPJ908,252399070,"8 393,55 M$","0,07 %",Arvopaperi,
SGAS,iShares IV PLC - iShares MSCI USA Screened UCITS ETF Accum Shs Unhedged USD,IE00BFNM3G45,232974958,"16 387,5 M$","0,07 %",Arvopaperi,
EDMW,iShares IV PLC - iShares MSCI World CTB Enhanced ESG UCITS ETF Accum Shs Unhedged USD,IE00BHZPJ569,252399072,"4 437,71 M$","0,20 %",Arvopaperi,
IUSV,iShares IV PLC - iShares USD Treasury Bond 20+yr UCITS ETF Hedged EUR,IE00BD8PGZ49,328916643,"887,61 M$","0,10 %",Arvopaperi,Puolivuosittain
IUSP,iShares J.P. Morgan EM Local Govt Bond UCITS ETF,IE00B5M4WH52,163423677,"5 109,81 M$","0,50 %",Arvopaperi,Puolivuosittain
IS3C,iShares J.P. Morgan USD EM Bond EUR Hedged UCITS ETF (Dist),IE00B9M6RS56,164522192,"2 146,42 M€","0,50 %",Arvopaperi,Kuukausittain
IUS7,iShares J.P. Morgan USD EM Bond UCITS ETF,IE00B2NPKV68,162736066,"3 976,63 M$","0,45 %",Arvopaperi,Kuukausittain
IS0Q,iShares JP Morgan USD EM Corp Bond UCITS ETF USD,IE00B6TLBW47,164522163,"1 000,03 M$","0,50 %",Arvopaperi,Puolivuosittain
IQQL,iShares Listed Private Equity UCITS ETF,IE00B1TXHL60,162736037,"839,2 M$","0,75 %",Arvopaperi,Puolivuosittain
CBUV,iShares Metaverse UCITS ETF USD (Acc),IE000RN58M26,406440379,"124,64 M$","0,52 %",Arvopaperi,
MODR,iShares Moderate Portfolio UCITS ETF Accum EUR,IE00BLLZQS08,306151184,"39,65 M€","0,32 %",Arvopaperi,
IQQF,iShares MSCI AC Far East ex-Japan UCITS ETF,IE00B0M63730,161589428,"1 588,65 M$","0,74 %",Arvopaperi,Neljännesvuosittain
IUSQ,iShares MSCI ACWI UCITS ETF,IE00B6R52259,164522155,30 098 M$,"0,20 %",Arvopaperi,
IBC6,iShares MSCI Australia UCITS ETF USD,IE00B5377D42,116984613,"559,57 M$","0,50 %",Arvopaperi,
IQQB,iShares MSCI Brazil UCITS ETF USD (Dist),IE00B0M63516,161589430,"535,97 M$","0,74 %",Arvopaperi,Neljännesvuosittain
SXR2,iShares MSCI Canada UCITS ETF,IE00B52SF786,34203420,"2 184,91 M$","0,48 %",Arvopaperi,
36BZ,iShares MSCI China A UCITS ETF,IE00BQT3WG13,130067663,"3 211,24 M$","0,40 %",Arvopaperi,
CBUK,iShares MSCI China Tech UCITS ETF USD,IE000NFR7C63,375065867,"2 058,02 M$","0,56 %",Arvopaperi,
ICGA,iShares MSCI China UCITS ETF AccumUSD,IE00BJ5JPG56,259612779,"3 186,57 M$","0,28 %",Arvopaperi,
CEBL,iShares MSCI EM Asia UCITS ETF,IE00B5L8K969,38692526,"7 528,75 M$","0,20 %",Arvopaperi,
CEMG,iShares MSCI EM Consumer Growth UCITS ETF,IE00BKM4H197,164521683,"42,17 M$","0,60 %",Arvopaperi,
84X0,iShares MSCI EM ex-China UCITS ETF,IE00BMG6Z448,438810744,5 325 M$,"0,25 %",Arvopaperi,
IUSC,iShares MSCI EM Latin America UCITS ETF USD,IE00B27YCK28,162736055,"2 267,18 M$","0,20 %",Arvopaperi,Puolivuosittain
EUNI,iShares MSCI EM Small Cap UCITS ETF,IE00B3F81G20,163422554,"369,45 M$","0,74 %",Arvopaperi,Puolivuosittain
QDVS,iShares MSCI EM SRI UCITS ETF,IE00BYVJRP78,165314443,"3 609,64 M$","0,33 %",Arvopaperi,
EUNM,iShares MSCI EM UCITS ETF USD (Acc),IE00B4L5YC18,163422993,"8 955,71 M$","0,18 %",Arvopaperi,
IQQE,iShares MSCI EM UCITS ETF USD (Dist),IE00B0M63177,115171495,"9 593,99 M$","0,18 %",Arvopaperi,Neljännesvuosittain
SLMA,iShares MSCI EMU IMI Screened UCITS ETF Accum Shs EUR,IE00BFNM3B99,232974950,"1 409,99 M€","0,12 %",Arvopaperi,
IS3G,iShares MSCI EMU Large Cap UCITS ETF EUR,IE00BCLWRF22,114715785,"149,84 M€","0,49 %",Arvopaperi,
IS3H,iShares MSCI EMU Mid Cap UCITS ETF EUR,IE00BCLWRD08,114715784,"613,56 M€","0,49 %",Arvopaperi,
SXRJ,iShares MSCI EMU Small Cap UCITS ETF,IE00B3VWMM18,31802425,"962,48 M€","0,58 %",Arvopaperi,
CEBP,iShares MSCI EMU USD Hedged UCITS ETF (Acc),IE00BWZN1T31,136392172,"272,4 M$","0,38 %",Arvopaperi,
IQQU,iShares MSCI Europe ex-UK UCITS ETF,IE00B14X4N27,161589534,"1 310,85 M€","0,40 %",Arvopaperi,Neljännesvuosittain
QDVX,iShares MSCI Europe Quality Dividend ESG UCITS ETF,IE00BYYHSM20,193346478,"847,29 M€","0,28 %",Arvopaperi,Neljännesvuosittain
IUSK,iShares MSCI Europe SRI UCITS ETF,IE00B52VJ196,162736187,"3 051,73 M€","0,24 %",Arvopaperi,
IS3U,iShares MSCI France UCITS ETF,IE00BP3QZJ36,142242319,"199,17 M€","0,25 %",Arvopaperi,
SEC0,iShares MSCI Global Semiconductors UCITS ETF AccumUSD,IE000I8KRLL9,347153761,"3 451,13 M$","0,35 %",Arvopaperi,
QDV5,iShares MSCI India UCITS ETF,IE00BZCQB185,219163048,"5 132,59 M$","0,65 %",Arvopaperi,
IBCG,iShares MSCI Japan EUR Hedged UCITS ETF (Acc),IE00B42Z5J44,164521880,"1 122,16 M€","0,64 %",Arvopaperi,
IUS4,iShares MSCI Japan Small Cap UCITS ETF,IE00B2QWDY88,108344840,"477,81 M$","0,58 %",Arvopaperi,Puolivuosittain
SXR6,iShares MSCI Japan SRI UCITS ETF Accum USD,IE00BYX8XC17,183339889,"492,42 M$","0,20 %",Arvopaperi,
SXR5,iShares MSCI Japan UCITS ETF,IE00B53QDK08,34203428,"1 408,89 M$","0,48 %",Arvopaperi,
IQQJ,iShares MSCI Japan UCITS ETF USD (Dist),IE00B02KXH56,161589316,"2 546,92 M$","0,12 %",Arvopaperi,Puolivuosittain
IQQK,iShares MSCI Korea UCITS ETF USD (Dist),IE00B0M63391,161589441,"1 050,53 M$","0,74 %",Arvopaperi,Puolivuosittain
CEBG,iShares MSCI Mexico Capped UCITS ETF,IE00B5WHFQ43,38692521,"144,23 M$","0,65 %",Arvopaperi,
IQQN,iShares MSCI North America UCITS ETF,IE00B14X4M10,161589484,"1 413,69 M$","0,40 %",Arvopaperi,Neljännesvuosittain
EUNJ,iShares MSCI Pacific ex-Japan UCITS ETF (Dist) USD,IE00B4WXJD03,163831985,"183,9 M$","0,60 %",Arvopaperi,Neljännesvuosittain
IBCJ,iShares MSCI Poland UCITS ETF,IE00B4M7GH52,164522044,"809,62 M$","0,74 %",Arvopaperi,
IBC4,iShares MSCI South Africa UCITS ETF USD,IE00B52XQP83,134765547,"415,25 M$","0,65 %",Arvopaperi,
IQQT,iShares MSCI Taiwan UCITS ETF,IE00B0M63623,161589449,"1 444,92 M$","0,74 %",Arvopaperi,Puolivuosittain
IQQ5,iShares MSCI Turkey UCITS ETF,IE00B1FZS574,162735995,"141,19 M$","0,74 %",Arvopaperi,Puolivuosittain
QDVC,iShares MSCI USA Mid-Cap Equal Weight UCITS ETF Accum Shs USD,IE00BD1F4K20,173162284,"322,65 M$","0,21 %",Arvopaperi,
QDVD,iShares MSCI USA Quality Dividend ESG UCITS ETF,IE00BKM4H312,104368240,"659,82 M$","0,35 %",Arvopaperi,Puolivuosittain
QDVR,iShares MSCI USA SRI UCITS ETF,IE00BYVJRR92,165314442,"2 987,61 M$","0,20 %",Arvopaperi,
36B6,iShares MSCI USA SRI UCITS ETF,IE00BZ173T46,247614136,"367,71 M$","0,20 %",Arvopaperi,Puolivuosittain
SXR4,iShares MSCI USA UCITS ETF,IE00B52SFT06,34203425,"4 368,33 M$","0,07 %",Arvopaperi,
3SUE,iShares MSCI World Consumer Staples Sector ESG UCITS ETF USD,IE00BJ5JP329,271147256,"102,41 M$","0,25 %",Arvopaperi,Puolivuosittain
IBCH,iShares MSCI World EUR Hedged UCITS ETF (Acc),IE00B441G979,164521883,"5 064,25 M€","0,55 %",Arvopaperi,
CBUF,iShares MSCI World Health Care Sector Advanced UCITS ETF USD,IE00BJ5JNZ06,271147250,"565,64 M$","0,18 %",Arvopaperi,Puolivuosittain
AYEW,iShares MSCI World Information Technology Sector Advanced UCITS ETF USD,IE00BJ5JNY98,271147248,"894,62 M$","0,25 %",Arvopaperi,Puolivuosittain
IS3T,iShares MSCI World Mid-Cap Equal Weight UCITS ETF USD,IE00BP3QZD73,142242327,"446,08 M$","0,32 %",Arvopaperi,
QDVW,iShares MSCI World Quality Dividend ESG UCITS ETF Unhedged USD,IE00BYYHSQ67,193346480,"1 427,62 M$","0,38 %",Arvopaperi,Puolivuosittain
SNAW,iShares MSCI World Screened UCITS ETF Accum Shs Unhedged USD,IE00BFNM3J75,232974962,"5 451,01 M$","0,25 %",Arvopaperi,
IUSN,iShares MSCI World Small Cap UCITS ETF,IE00BF4RFH31,216093294,"7 633,3 M$","0,35 %",Arvopaperi,
