tunnus,nimi,isin,id_notation,aum,kulut,toteutus,osinko
SPYT,SSgA SPDR ETFs Europe II PLC - State Street SPDR MSCI Europe Communication Services UCITS ETF Accum EUR,IE00BKWQ0N82,119591409,"52,22 M€","0,18 %",Arvopaperi,
ZPRX,SSgA SPDR ETFs Europe II PLC - State Street SPDR MSCI Europe Small Cap Value Weighted UCITS ETF Accum Ptg EUR,IE00BSPLC298,125378851,"638,77 M€","0,30 %",Arvopaperi,
ZPRV,SSgA SPDR ETFs Europe II PLC - State Street SPDR MSCI USA Small Cap Value Weighted UCITS ETF Accum Ptg USD,IE00BSPLC413,125378849,"953,78 M$","0,30 %",Arvopaperi,
ZPRR,SSgA SPDR ETFs EUROPE II PLC - State Street SPDR RUSSELL 2000 U.S. SMALL CAP UCITS ETF Accum Ptg USD,IE00BJ38QD84,105637563,"5 067,63 M$","0,30 %",Arvopaperi,
ZPDK,SSgA SPDR ETFs Europe II PLC - State Street SPDR S&P U.S. Communication Services Select Sector UCITS ETF AccumUSD,IE00BFWFPX50,226225110,"335,88 M$","0,15 %",Arvopaperi,
ZPDD,SSgA SPDR ETFs Europe II PLC - State Street SPDR S&P U.S. Consumer Discretionary Select Sector UCITS ETF Accum.Ptg.Shs USD,IE00BWBXM278,136756562,"135,36 M$","0,15 %",Arvopaperi,
ZPDS,SSgA SPDR ETFs Europe II PLC - State Street SPDR S&P U.S. Consumer Staples Select Sector UCITS ETF Accum.Ptg.Shs USD,IE00BWBXM385,136756563,"225,91 M","0,15 %",Arvopaperi,
ZPDE,SSgA SPDR ETFs Europe II PLC - State Street SPDR S&P U.S. Energy Select Sector UCITS ETF Accum.Ptg.Shs USD,IE00BWBXM492,136756564,"839,89 M$","0,15 %",Arvopaperi,
ZPDF,SSgA SPDR ETFs Europe II PLC - State Street SPDR S&P U.S. Financials Select Sector UCITS ETF Accum.Ptg.Shs USD,IE00BWBXM500,136756565,"647,93 M$","0,15 %",Arvopaperi,
ZPDI,SSgA SPDR ETFs Europe II PLC - State Street SPDR S&P U.S. Industrials Select Sector UCITS ETF Accum.Ptg.Shs USD,IE00BWBXM724,136756567,"790,41 M$","0,15 %",Arvopaperi,
ZPDM,SSgA SPDR ETFs Europe II PLC - State Street SPDR S&P U.S. Materials Select Sector UCITS ETF Accum.Ptg.Shs USD,IE00BWBXM831,136756568,"165,31 M$","0,15 %",Arvopaperi,
ZPDT,SSgA SPDR ETFs Europe II PLC - State Street SPDR S&P U.S. Technology Select Sector UCITS ETF Accum.Ptg.Shs USD,IE00BWBXM948,136756569,"1 526,66 M$","0,15 %",Arvopaperi,
ZPDU,SSgA SPDR ETFs Europe II PLC - State Street SPDR S&P U.S. Utilities Select Sector UCITS ETF Accum.Ptg.Shs USD,IE00BWBXMB69,136756570,"218,11 M$","0,15 %",Arvopaperi,
SYBV,SSgA SPDR ETFs Europe I Plc - Blm. 10+ Yr. EUR Gov. Bd. ETF,IE00BYSZ6062,154851895,"134,87 M€","0,15 %",Arvopaperi,Puolivuosittain
SYBR,SSgA SPDR ETFs Europe I Plc - Blmb. 1-10 Yr. U.S. Corp. Bd.,IE00BYV12Y75,154851892,"619,98 M$","0,12 %",Arvopaperi,Puolivuosittain
SYBL,SSgA SPDR ETFs Europe I Plc - Blmb. 15+ Yr. Gilt UCITS ETF,IE00B6YX5L24,64135295,"244,68 M£","0,15 %",Arvopaperi,Puolivuosittain
ZPRP,SSgA SPDR ETFs Europe I Plc - FTSE EPRA Eur. ex-UK Real.,IE00BSJCQV56,139116983,"137,33 M€","0,30 %",Arvopaperi,
SPYI,SSGA SPDR ETFs Europe I Plc - MSCI All Con. Wld. Inv. Mkt.,IE00B3YLTY66,46380703,"5 694,37 M$","0,18 %",Arvopaperi,
SPYY,SSGA SPDR ETFs Europe I Plc - MSCI All Con. Wld. UCITS ETF,IE00B44Z5B48,46380702,11 325 M$,"0,12 %",Arvopaperi,
SPYX,SSgA SPDR ETFs Europe I Plc - MSCI Em. Mkts. Small Cap ETF,IE00B48X4842,46380705,"530,5 M$","0,55 %",Arvopaperi,
ZPRE,SSgA SPDR ETFs Europe I Plc - MSCI EMU UCITS ETF,IE00B910VR50,76091632,"329,03 M€","0,18 %",Arvopaperi,
SPYV,SSgA SPDR ETFs Europe I Plc - S&P Em. Mkts. Div. UCITS ETF,IE00B6YX5B26,52939550,"173,71 M$","0,55 %",Arvopaperi,Puolivuosittain
SPYW,SSgA SPDR ETFs Europe I Plc - S&P Euro Div. Aristo. ETF,IE00B5M1WJ87,59438340,"1 631,15 M€","0,30 %",Arvopaperi,Puolivuosittain
SYBD,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg 0-3 Year Euro Corporate Scored UCITS ETF EUR,IE00BC7GZW19,85943833,"697,28 M€","0,20 %",Arvopaperi,Puolivuosittain
SYBF,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg 0-3 Year U.S. Corporate Bond UCITS ETF USD,IE00BC7GZX26,85943836,"106,54 M$","0,12 %",Arvopaperi,Puolivuosittain
ZPR1,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg 1-3 Month T-Bill UCITS ETF Accum USD,IE00BJXRT698,262024208,"867,23 M$","0,10 %",Arvopaperi,
SYB3,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg 1-3 Year Euro Government Bond UCITS ETF EUR,IE00B6YX5F63,54596672,"849,25 M€","0,15 %",Arvopaperi,Puolivuosittain
SYB5,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg 1-5 Year Gilt UCITS ETF GBP,IE00B6YX5K17,60207176,"245,37 M£","0,15 %",Arvopaperi,Puolivuosittain
SPP3,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg 3-7 Year U.S. Treasury Bond UCITS ETF USD,IE00BYSZ5R67,154851896,"105,72 M$","0,15 %",Arvopaperi,Puolivuosittain
SYBN,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg 10+ Year U.S. Corporate Bond UCITS ETF USD,IE00BZ0G8860,148525011,"66,18 M$","0,12 %",Arvopaperi,Puolivuosittain
